profile_name,about_spec
Машины и технологии обработки металлов давлением,"моделированию физических и физико-химических процессов в материалах при локальном воздействии концентрированными источниками энергии (исследованию влияния термических и термодеформационных процессов на работоспособность сварных конструкций; исследованию и разработке перспективных функциональных материалов для сварки, наплавки, аддитивного производства); разработке цифровых двойников технологических процессов и оборудования машиностроительных и металлургических предприятий; исследованию в области аддитивных технологий; модернизации и созданию новых узлов, агрегатов и машин для металлургической отрасли, машиностроения и робототехники."
Оборудование и технология сварочного производства,"моделированию физических и физико-химических процессов в материалах при локальном воздействии концентрированными источниками энергии (исследованию влияния термических и термодеформационных процессов на работоспособность сварных конструкций; исследованию и разработке перспективных функциональных материалов для сварки, наплавки, аддитивного производства); разработке цифровых двойников технологических процессов и оборудования машиностроительных и металлургических предприятий; исследованию в области аддитивных технологий; модернизации и созданию новых узлов, агрегатов и машин для металлургической отрасли, машиностроения и робототехники."
Компьютерное моделирование и проектирование в машиностроении,"активно изучать и использовать современные системы автоматизированного проектирования (CAD/CAE/CAM) в процессе выполнения проектов любой сложности и научных исследований; осваивать навыки прямого и реверсивного инжиниринга с использованием 3D-моделирования и визуализации, 3D-сканирования и 3D-печати, элементы технологий виртуальной и дополненной реальности VR/AR в проектировании и дизайне промышленного оборудования и продукции; разрабатывать цифровые модели действующего и перспективного технологического оборудования, проводить исследования их эксплуатации, определять оптимальные параметры работы оборудования."
Металлургические машины и оборудование,"активно изучать и использовать современные системы автоматизированного проектирования (CAD/CAE/CAM) в процессе выполнения проектов любой сложности и научных исследований; осваивать навыки прямого и реверсивного инжиниринга с использованием 3D-моделирования и визуализации, 3D-сканирования и 3D-печати, элементы технологий виртуальной и дополненной реальности VR/AR в проектировании и дизайне промышленного оборудования и продукции; разрабатывать цифровые модели действующего и перспективного технологического оборудования, проводить исследования их эксплуатации, определять оптимальные параметры работы оборудования."
Системная инженерия машиностроительных технологий,"определять экономическую эффективность проектирования технологического процесса изготовления деталей; подготовке заданий на модернизацию и автоматизацию технологических процессов; проведению патентных исследований; анализу вариантов и выбору оптимального решения, прогнозированию его последствий, планированию реализации проектов;  разработке проектов машиностроительных производств, технических средств и систем их оснащения; разработке предложений по автоматизации и механизации технологических операций механосборочного производства; разработке теоретических моделей, позволяющих исследовать качество выпускаемых изделий, технологических процессов, средств и систем машиностроительных производств; математическому моделированию машиностроительных производств с использованием современных технологий проведения научных исследований; сбору, анализу и систематизации научно-технической информации; защите интеллектуальной собственности."
Мехатронные системы в автоматизированном производстве,"проводить эксперименты на действующих макетах, образцах мехатронных и робототехнических систем по заданным методикам и обрабатывать результаты с применением современных информационных технологий и технических средств; разрабатывать программное обеспечение, необходимое для обработки информации и управления в мехатронных и робототехнических системах, а также для их проектирования, настраивать системы управления и обработки информации, управляющие средства и комплексы и осуществлять их регламентное эксплуатационное обслуживание с использованием соответствующих инструментальных средств; производить расчеты и проектирование отдельных устройств и подсистем мехатронных и робототехнических систем с использованием стандартных исполнительных и управляющих устройств, средств автоматики, измерительной и вычислительной техники в соответствии с техническим заданием; применять современные средства автоматизированного проектирования и машинной графики при проектировании систем и их отдельных модулей, а также для подготовки конструкторско-технологической документации; составлять математические модели мехатронных и робототехнических систем, их подсистем и отдельных элементов и модулей, включая информационные, электромеханические, гидравлические, электрогидравлические, электронные устройства и средства вычислительной техники, участвовать в монтаже, наладке, настройке и сдаче в эксплуатацию опытных образцов мехатронных и робототехнических систем, их подсистем и отдельных модулей."
Машины и технологии обработки металлов давлением,"оформлять проектно-конструкторские работы с проверкой соответствия разрабатываемых проектов и технической документации стандартам, техническим условиям и другим нормативным документам;  проводить предварительное технико-экономическое обоснование проектных решений; участвовать в работах по доводке и освоению технологических процессов в ходе подготовки производства новой продукции, проверять качество монтажа и наладки при испытаниях и сдаче в эксплуатацию новых образцов изделий, узлов и деталей выпускаемой продукции."
Сварочные комплексы,участвовать в работах по освоению технологического оборудования и проектированию эффективных процессов обработки изделий сварочными источниками теплоты. применять цифровые технологии при проектировании и доводке технологических процессов.  работать с проектно-конструкторской и технической информацией для осуществления контроля продукции на всех этапах ее изготовления. проводить предварительное технико-экономическое обоснование проектных и технологических решений.
Инжиниринг в металлургическом машиностроении,"исследовать проблемы проектирования технических объектов с помощью различных компьютерных методов; овладеете современными методами расчета и проектирования на базе программных пакетов Компас-3D, Autodesk Inventor, Abaqus и др. Приобретете навыки расчета и проектирования деталей и узлов металлургических машин и оборудования, навыки разработки рабочей проектной и технической документации; приобретете знания о перспективных направлениях научно-технических исследований в области металлургического производства и машиностроения, которые необходимы в условиях рыночной экономики и жесткой конкурентной борьбы металлургических предприятий; научитесь находить оптимальные решения при проведении работ по восстановлению работоспособности оборудования с учётом требований качества, надёжности и стоимости."
Искусственный интеллект в робототехнике,ориентироваться в приоритетных направлениях науки и техники; пользоваться новейшими компьютерными технологиями и программировать на языках высокого уровня; знать экономические и правовые аспекты научно-технической деятельности в условиях современного рынка и применять методы научно-технического менеджмента и международного инжиниринга.
Химическая технология природных энергоносителей и углеродных материалов,"проводить химический анализ и исследование состава веществ, продуктов или промежуточных соединений, сырья и т.д.; заниматься химическим синтезом; управлять химическим процессом; проводить химические исследования; работать над созданием производств основных неорганических веществ, строительных материалов, продуктов основного и тонкого органического синтеза, полимерных материалов, продуктов переработки нефти, газа и твердого топлива; заниматься организацией рабочих мест, их техническим оснащением и размещением технологического оборудования; контролировать качество выпускаемой продукции; обеспечивать выполнение мероприятий по улучшению качества продукции, по совершенствованию метрологического обеспечения, по разработке новых и пересмотру действующих стандартов, правил, норм и т.д."
Технология и организация индустриального производства кулинарной продукции и кондитерских изделий,"организации предпринимательства, моделированию и самостоятельному принятию эффективных управленческих решений; методиками расчета предпринимательских рисков и способами их страхования; рассчитывать рецептуры и нормы расхода сырья, устанавливать потери и отходы сырья при их производстве; разрабатывать мероприятия по совершенствованию технологических процессов производства продуктов питания. навыкам организации технологического процесса производства; осуществлять контроль качества сырья, полуфабрикатов и готовой продукции различными методами и на различных стадиях производства, а также контроль всех параметров производства является основной целью технохимического контроля и учет на предприятии; проектировать состав многокомпонентных продуктов питания различного назначения с заданным комплексом показателей их качества, и соответствующих умений и навыков в их использовании; работать с нормативной базой стандартизации и сертификации пищевой промышленности, правовой базы технического регулирования в РФ; экономическому прогнозированию на основе выявления тенденций в социально-экономических процессах для принятия обоснованных экономических решений; методам продвижения продукции на рынок, навыкам создания различных элементов бренда, основам маркетинга, рекламы и логистики; анализировать состояние и тенденции развития рынка труда с точки зрения обеспечения потребности организации в человеческих ресурсах; разрабатывать мероприятия по привлечению и отбору новых сотрудников и программы их адаптации."
Управление экологической и промышленной безопасностью,"определять и рассчитывать основные характеристики защитных средств экологии и человека, исходя из определенных условий и применяя современные известные методы и технологии; конструировать элементы систем безопасности, защиты и спасения людей от техногенных катастроф и аварий; вступать в процесс разработки проектов на этапе составления технической составляющей в области безопасности; обеспечивать научные исследования инженерными и конструкторскими средствами; сопровождать процессы реализации нововведений и инноваций; улучшать технологии производства с точки зрения уменьшения риска возможного негативного воздействия на окружающую среду и людей; проводить испытания, устанавливать, адаптировать и эксплуатировать защитные системы и комплексы от антропогенных и природных катастроф; регулярно проверять техническое состояние средств и инструментов, проводить профилактические работы и текущий ремонт по мере необходимости; осуществлять мониторинг рынка современного оборудования в области обеспечения безопасности и принимать управленческие решения о замене или реновации используемых приборов."
Цифровые решения в экологической и промышленной безопасности,"эксплуатировать комплексные средства защиты и системы контроля безопасности в техносфере; формулировать цели и задачи научных исследований, направленных на повышение безопасности, создание новых методов и систем защиты человека и окружающей среды, определение плана, основных этапов исследований; организовывать деятельность по охране среды обитания на уровне предприятия, территориально-производственных комплексов и регионов, а также деятельность предприятий и региона в чрезвычайных условиях; проводить экспертизы безопасности и экологичности технических проектов, производств, промышленных предприятий и производственно-территориальных комплексов и т.д."
Маркшейдерское дело,"выполнять маркшейдерско-геодезические работы, определять пространственно-временные характеристики состояния земной поверхности и недр, горно-технических систем, подземных и наземных сооружений и отображать информацию в соответствии с современными требованиями; использовать методы геометризации и прогнозирования размещения показателей месторождения в пространстве; анализировать условия разработки месторождений полезных ископаемых для их комплексного использования, выполнять различные оценки недропользования."
Обогащение полезных ископаемых,"разбираться в минералах и горных породах, определять их свойства и полезность; проектировать и организовывать производства по переработке и обогащению полезных ископаемых; вести техническую и технологическую документацию; осуществлять контроль технологического процесса в соответствии с технологическими документами; контролировать и анализировать качество исходного сырья и продуктов обогащения; осуществлять патентный поиск, изучать научно – техническую информацию, отечественный и зарубежный опыт по тематике исследований; составлять отчеты по научно – исследовательской работе самостоятельно или в составе творческих коллективов."
Подземная разработка рудных месторождений,"разрабатывать и внедрять эффективные схемы и технологии подземной - добычи полезных ископаемых; планировать и контролировать процессы подземной добычи; осуществлять буровые и взрывные работы при подземной разработке месторождений; проектировать и строить подземные сооружения и горные выработки; контролировать и обеспечивать безопасность в процессе подземной разработки месторождений; управлять технологическими процессами и оборудованием при подземной добыче; анализировать и оценивать экономическую эффективность проектов подземной разработки; оценивать риски и предотвращать чрезвычайные ситуации на подземных горных работах; решать экологические проблемы, связанные с подземной разработкой месторождений."
Открытые горные работы,"выбирать карьерное оборудование и разрабатывать технологические схемы для его эффективной работы; проектировать горнодобывающие предприятия для добычи полезных ископаемых открытым способом с использованием специализированных программных комплексов; осуществлять краткосрочное, среднесрочное и перспективное планирование открытых горных работ; организовывать процесс добычных и вскрышных работ на карьерах и осуществлять контроль за их выполнением; проектировать, планировать и осуществлять буровзрывные работы на карьерах."
Горные машины и оборудование,"ремонтировать и управлять горными машинами на открытых и подземных работах; проектировать механическое оборудование горных предприятий; руководить работой транспортных и стационарных горных машин. разрабатывать новые технологии организации работы горных машин и оборудования; проектировать механическое оборудование шахт, карьеров и обогатительных фабрик."
Материаловедение и технологии материалов (в машиностроении),"определять свойства материалов, навыкам контроля и прогнозирования свойств и поведения материалов в различных условиях их обработки и эксплуатации;  проектировать, создавать, осуществлять доработку и модернизацию сплавов металлов; разрабатывать новые материалы, технологию производтсва нового материала, обеспечивающую его высокое качество, получение заданных свойств и конкурентную себестоимость; осуществлять металлографический анализ материалов, описывать и классифицировать выявленные дефекты; осуществлять подбор материалов для изготовления деталей в зависимости от условий их обработки, разрабатывать режимы химико-термической обработки различных материалов и сплавов для придания им необходимых свойств."
Технология литейных процессов,"разрабатывать литейную технологию производства отливок из черных и цветных металлов с расчётом литниково-питающих систем; проводить расчёт шихты для выплавки литейных металлов и сплавов; проектировать производственный процесс в рамках базового инжиниринга: выбирать необходимое оборудование для литейных цехов, проектировать новое предприятие, рассчитывать грузопотоки литейного цеха и режимы работы его основных отделений; осуществлять компьютерное моделирование литейных процессов в современных автоматизированных системах, оценивать и корректировать технологию производства."
Обработка металлов давлением,фундаментальным общеинженерным знаниям; разрабатывать новые и совершенствовать существующие технологические процессы в области обработки металлов давлением; работать со специализированным прикладным программным обеспечением:КОМПАС – CAD система для 2D/3D проектирования любых деталей и конструкций;QForm – CAE система для 2D/3D проектирования и выполнения инженерных расчетов любых технологических процессов обработки металлов давлением;SprutCAM Robot – CAM система для оффлайн программирования промышленных роботов и симуляции технологических процессов.Больше информации в буклете!
Металлургия черных металлов,"решать профессиональные задачи в области металлургии черных металлов, используя фундаментальные знания; составлять и оформлять технические отчеты по результатам учебно-ознакомительной и производственной практики; оценивать параметры и режимы технологических процессов протекающих в агломерационном, доменном и сталеплавильном производствах, вносит предложения по их совершенствованию, анализировать результаты производственной деятельности в металлургии; оценивать сырье и металлургическую продукцию, корректировать и контролировать производственный процесс с обоснованием принятых технологических и технических мер; решать задачи по проектированию основного и вспомогательного металлургического оборудования агломерационного, доменного и сталеплавильного цехов; решать научно-исследовательские задачи в области металлургии черных металлов."
Технологии производства и обработки черных металлов и сплавов,"решать профессиональные задачи в области металлургии черных металлов, используя фундаментальные знания; выполнять технологические операции по получению металлургической продукции, ее дальнейшей обработке; решать задачи по проектированию основного и вспомогательного металлургического оборудования агломерационного, доменного и сталеплавильного цехов; выполнять научно-исследовательские задачи в области профессиональной деятельности; выполнять задачи по оценке сырья и металлургической продукции, корректировать и контролировать производственный процесс; проводить анализ технологий в металлургическом производстве с обоснованием эффективности принятых мер по управлению технологическими параметрами; осуществлять управление технологическим процессом по получению металлургической продукции."
Информационные технологии в современных литейных процессах,"разрабатывать литейную технологию с применением современных информационных систем для компьютерного моделирования; оптимизировать современные литейные процессы посредством цифровых решений; использовать средства искусственного интеллекта для оптимизации и совершенствования литейных процессов; создавать собственный цифровые решения для оптимизации технологических процессов литья, а также управления качеством продукции; делать предпроектные работы для создания новых предприятий, создавать цифровые модели предприятий."
Advanced Metallurgical Engineering,обязательные:Мотивационное письмоСобеседование по портфолио
Инжиниринг инновационных технологий в обработке металлов давлением,осуществлять и корректировать технологические процессы в металлургии и материалообработке;  методикам и инструментальным средствам проектирования новых материалов и технологических процессов обработки металлов и сплавов давлением с применением CAD/CAM/CAE-систем.
Искусственный интеллект в металлургии,"навыкам обработки производственной и экспериментальной информации, а также участвовать в управлении технологическими процессами в металлургии с целью обеспечения требуемого качества продукции; в процессе обучения студенты получат теоретические знания, а также навыки сбора, систематизации и применения числовой информации технологических процессов металлургического производства; специалист по искусственному интеллекту способен прогнозировать и создавать новую продукцию, отвечающую современному комплексу требований."
Металлургические технологии производства черных металлов и сплавов,"осуществлять технологические процессы переработки специально подготовленного (агломерат, окатыши), минерального природного и техногенного сырья в доменных печах с получением чугуна, шлака и доменного газа; проводить анализ эффективности и результативности работы доменных печей; определять особенности конструкции агрегатов и технологического оборудования современного конвертерного производства стали; особенностях конструкции агрегатов и технологического оборудования современного конвертерного производства стали, получите знания по основам теории и практики технологии ковшевой обработки стали, навыки для решения конкретных задач управления технологическими процессами в сталеплавильных цехах; способам извлечения железа из рудного сырья и выплавки стали, принципиальным основам новой ресурсосберегающей и экологически менее опасной производственно-технологической схемы черной металлургии; • получите навыки решения конкретных задач управления технологическими процессами в сталеплавильных цехах."
Цифровые двойники в обработке материалов,"выполнять оценку надежности основного механического оборудования металлургических и обрабатывающих цехов; методам и техническим средствм измерения параметров технологических процессов металлургических производств; цифровым технологиям ""Индустрии 4.0"" и особенностей их реализации на металлургическом предприятии; принципам выбора математических объектов с целью разработки математических моделей для решения стандартных задач металлургического производства; навыкам разработки компьютерных программ, реализующующих разработанные модели с целью оптимизации металлургической технологии; методам и техническим средствм измерения параметров технологических процессов металлургических производств; цифровым технологиям ""Индустрии 4.0"" и особенностей их реализации на металлургическом предприятии; методам построения цифровых двойников, а также методам их взаимодействия с физической реальностью."
Химические технологии энергоносителей и сырьевых материалов в металлургии,"решать профессиональные задачи в области металлургии и процессов металлообработки, используя фундаментальные знания; составлять и оформлять научно-технические отчеты, выполняет требования нормоконтроля по результатам производственной и исследовательской деятельности; выполнять обзоры научно-технической информации различных категорий, подготавливать публикации и рецензии по тематике профессиональной деятельности в области металлургии и металлообработки; представлять результаты исследовательской и проектной деятельности на различных публичных мероприятиях, участвовать в академических и профессиональных дискуссиях на русском и иностранном языках; оценивать параметры и режимы технологических процессов, вносит предложения по их совершенствованию, анализировать результаты производственной деятельности в химической технологии в металлургии; организовывать работу по оцениванию сырья и металлургической продукции, корректировать и контролировать производственный процесс с обоснованием принятых технологических и технических мер; определять общую схему системы автоматизированного и автоматического управления химикотехнологическим процессами, средства текущего контроля и регулирования технологических факторов."
Транспортно-технологические машины нефтегазовой отрасли,"осущетсвлять проектирование транспортнро-технологических комплексов и средств; разрабатывать технологическую документацию для производства, модернизации, эксплуатации, технического обслуживания и ремонта наземных транспортно-технологических средств и комплексов; осуществлять контроль за параметрами технологических процессов производств и эксплуатации транспортно-технологических комплексов, технологического оборудования; проводить стандартыне испытания средств механизации и автоматизации подъемно-транспортных, строиетльсных и дорожных работ."
Эксплуатация и сервисное обслуживание автомобильного транспорта,Информационные технологии в проф. деятельностиПрикладная математикаРусский язык
